Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
peronne,Péronne,place,1,1,1.0,0.5,0.01639344262295082,3.387074922097277e-05,0.3253333333333333,9.756420397990612e-12,0.005910196240545193
freising,Freising,place,3,1,2.0,1.0,0.03278688524590164,0.0002032244953258366,0.35988200589970504,4.436813497536947e-07,0.007143070099908769
england,England,place,0,7,0.0,3.833333333333333,0.05737704918032787,0.0,0.37538461538461537,1.0828435513863063e-14,0.005726513952836454
ireland,Ireland*,place,0,53,0.0,44.16666666666667,0.43442622950819676,0.0,0.5596330275229358,1.0828435513863063e-14,0.005726513952836454
saint-amand,Saint-Amand,place,1,4,1.0,3.0,0.04098360655737705,6.774149844194554e-05,0.3630952380952381,9.756420397990612e-12,0.005910196240545193
roscrea,Roscrea,place,1,1,1.0,1.0,0.01639344262295082,0.0,0.3620178041543027,9.756420397990612e-12,0.005836723325461697
armagh,Armagh,place,1,2,1.0,2.0,0.02459016393442623,0.00027096599376778217,0.3836477987421384,9.756420397990612e-12,0.005836723325461697
reichenau,Reichenau,place,8,9,5.666666666666666,7.5,0.13934426229508198,0.007858013819265684,0.4765625,5.03420462855532e-05,0.017532207642476264
salzburg,Salzburg,place,0,2,0.0,2.0,0.01639344262295082,0.0,0.32105263157894737,1.0828435513863063e-14,0.005726513952836454
augsburg,Augsburg,place,1,2,1.0,2.0,0.02459016393442623,6.774149844194554e-05,0.3465909090909091,2.2000782139646413e-09,0.0060705680901192854
trier,Trier,place,3,1,2.0,1.0,0.03278688524590164,0.0005758027367565371,0.3495702005730659,0.004541839097850493,0.008096014562913732
birr,Birr,place,1,1,1.0,1.0,0.01639344262295082,0.0,0.3609467455621302,9.756420397990612e-12,0.005836723325461697
laon,Laon,place,4,4,4.0,2.333333333333333,0.06557377049180328,0.0030483674298875493,0.39869281045751637,6.688172474986354e-07,0.010222900681526419
lorsch,Lorsch,place,4,1,2.5,0.5,0.04098360655737705,3.387074922097277e-05,0.41924398625429554,2.2146966019083553e-09,0.006902329405982987
verdun,Verdun,place,1,2,1.0,2.0,0.02459016393442623,0.0001016122476629183,0.33062330623306235,9.756420397990612e-12,0.005910196240545193
northumbria,Northumbria,place,1,5,1.0,3.25,0.04918032786885246,0.00027096599376778217,0.3407821229050279,9.756420397990612e-12,0.006996317593953387
wales,Wales,place,0,3,0.0,2.5,0.02459016393442623,0.0,0.27111111111111114,1.0828435513863063e-14,0.005726513952836454
soissons,Soissons,place,1,8,1.0,5.333333333333333,0.07377049180327869,0.0001016122476629183,0.40131578947368424,9.756420397990612e-12,0.005910196240545193
fulda,Fulda,place,2,4,2.0,3.5,0.04918032786885246,0.000440319739872646,0.3961038961038961,2.2098238059271144e-09,0.006180777462744529
deer,Deer,place,1,1,1.0,1.0,0.01639344262295082,6.774149844194554e-05,0.3641791044776119,9.756420397990612e-12,0.005836723325461697
lyon,Lyon,place,1,3,1.0,2.25,0.03278688524590164,6.774149844194554e-05,0.3620178041543027,9.756420397990612e-12,0.005910196240545193
mainz,Mainz,place,1,3,1.0,2.5,0.03278688524590164,0.0004741904890936188,0.3436619718309859,2.2000782139646413e-09,0.0060705680901192854
st-gall,St Gall,place,6,5,5.0,4.333333333333334,0.09016393442622951,0.0041661021541796505,0.47104247104247104,8.873724342709171e-07,0.009840459964929632
italy,Italy,place,0,15,0.0,10.0,0.12295081967213116,0.0,0.38125,1.0828435513863063e-14,0.005726513952836454
fussen,Füssen,place,2,1,2.0,1.0,0.02459016393442623,0.00027096599376778217,0.32105263157894737,6.622267909340106e-07,0.008650569320155881
fleury,Fleury,place,2,4,1.5,3.5,0.04918032786885246,0.00027096599376778217,0.3663663663663664,2.2049510099458772e-09,0.006914936083013084
cambrai,Cambrai,place,1,1,1.0,0.5,0.01639344262295082,3.387074922097277e-05,0.3253333333333333,9.756420397990612e-12,0.005910196240545193
strasbourg,Strasbourg,place,3,3,2.333333333333333,3.0,0.04918032786885246,0.0015580544641647476,0.38977635782747605,6.666368338318494e-05,0.007040351785098732
canterbury,Canterbury,place,3,3,3.0,3.0,0.04918032786885246,0.0007790272320823738,0.37423312883435583,4.409891191456254e-09,0.009660625770220279
corbie,Corbie,place,3,4,3.0,4.0,0.05737704918032787,0.0006096734859775099,0.43416370106761565,4.409891191456254e-09,0.00802988529810622
iona,Iona,place,1,2,1.0,2.0,0.02459016393442623,0.0,0.38485804416403785,9.756420397990612e-12,0.005836723325461697
tours,Tours,place,1,3,1.0,2.5,0.03278688524590164,0.0001016122476629183,0.3708206686930091,9.756420397990612e-12,0.005910196240545193
france,France,place,0,31,0.0,26.5,0.2540983606557377,0.0,0.4765625,1.0828435513863063e-14,0.005726513952836454
paris,Paris,place,2,3,2.0,3.0,0.04098360655737705,0.0004064489906516732,0.3696969696969697,1.3244340798556636e-06,0.007616519881689417
germany,Germany,place,2,16,0.5,15.0,0.14754098360655737,0.003217721175992413,0.4552238805970149,4.88362441675224e-12,0.006071517206271998
luxeuil,Luxeuil,place,1,1,1.0,1.0,0.01639344262295082,0.0,0.3288409703504043,9.756420397990612e-12,0.005910196240545193
reims,Reims,place,1,10,1.0,8.75,0.09016393442622951,0.00027096599376778217,0.38977635782747605,9.756420397990612e-12,0.005910196240545193
auxerre,Auxerre,place,1,1,1.0,1.0,0.01639344262295082,0.0,0.3588235294117647,9.756420397990612e-12,0.005910196240545193
werden,Werden,place,2,1,2.0,1.0,0.02459016393442623,0.0001016122476629183,0.37770897832817335,2.2098238059271144e-09,0.0062542503778280235
clondalkin,Clondalkin,place,1,1,1.0,1.0,0.01639344262295082,0.0,0.3824451410658307,9.756420397990612e-12,0.005836723325461697
switzerland,Switzerland,place,0,3,0.0,3.0,0.02459016393442623,0.0,0.32707774798927614,1.0828435513863063e-14,0.005726513952836454
verona,Verona,place,1,1,1.0,1.0,0.01639344262295082,6.774149844194554e-05,0.31443298969072164,9.756420397990612e-12,0.006213272015264611
wurzburg,Würzburg,place,2,2,2.0,2.0,0.03278688524590164,0.0003387074922097277,0.37770897832817335,2.2098238059271144e-09,0.006180777462744529
bangor,Bangor,place,1,1,1.0,0.5,0.01639344262295082,0.0,0.38485804416403785,9.756420397990612e-12,0.005836723325461697
echternach,Echternach,place,2,1,2.0,1.0,0.02459016393442623,0.0,0.39228295819935693,4.4001455994937735e-09,0.007846203010397481
brittany,Brittany,place,1,3,1.0,2.5,0.03278688524590164,6.774149844194554e-05,0.3567251461988304,9.756420397990612e-12,0.005910196240545193
